# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 189.472 h/Mpc,
# number of wavenumbers equal to 637
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:t_g                    8:t_b                    9:t_cdm                 10:t_ur                  11:t_tot              
       5.718613225869e-03      -2.550665464183e+00      -4.342128924762e+00      -4.378543425720e+00      -2.440535657432e+00      -4.319101937221e+00      -1.019924661707e-03       4.189894858228e-03       4.200930975182e-03      -8.108509097124e-04       4.003856423424e-03 
       5.843692296005e-03      -2.517826363940e+00      -4.472351208815e+00      -4.511987168066e+00      -2.410465358394e+00      -4.447302636240e+00      -1.090057945931e-03       4.362321611204e-03       4.374308414457e-03      -8.552763795402e-04       4.168225350231e-03 
       5.968934426788e-03      -2.482719240696e+00      -4.604762326868e+00      -4.647845122677e+00      -2.379063634432e+00      -4.577759796335e+00      -1.153938267906e-03       4.537712764880e-03       4.550716328709e-03      -8.929215942875e-04       4.335745759698e-03 
       6.094330615523e-03      -2.445639184197e+00      -4.739341158325e+00      -4.786090025888e+00      -2.346643559808e+00      -4.710456577761e+00      -1.210705742615e-03       4.716045629621e-03       4.730127667023e-03      -9.232240749159e-04       4.506420375295e-03 
       6.219872540296e-03      -2.406874656208e+00      -4.876050533567e+00      -4.926687785340e+00      -2.313498181418e+00      -4.845367774636e+00      -1.259560700562e-03       4.897260626044e-03       4.912482359848e-03      -9.457069372116e-04       4.680216895821e-03 
       6.345552500285e-03      -2.366743366954e+00      -5.014856842034e+00      -5.069609979537e+00      -2.279937130524e+00      -4.982474064848e+00      -1.299774831828e-03       5.081319988252e-03       5.097743592935e-03      -9.599811841711e-04       4.857122202938e-03 
       6.471363362067e-03      -2.325566616289e+00      -5.155677454457e+00      -5.214825961185e+00      -2.246256402835e+00      -5.121746834554e+00      -1.330741884332e-03       5.268147759056e-03       5.285856325805e-03      -9.657638043032e-04       5.037098279585e-03 
       6.597298511245e-03      -2.283668066357e+00      -5.298529247222e+00      -5.362308385452e+00      -2.212757730117e+00      -5.263175239377e+00      -1.351826744504e-03       5.457737080259e-03       5.476792754424e-03      -9.628550038150e-04       5.220138892816e-03 
       6.723351808830e-03      -2.241366239689e+00      -5.443347348234e+00      -5.512022549781e+00      -2.179714799335e+00      -5.406729694173e+00      -1.362567993147e-03       5.650012162225e-03       5.670488441384e-03      -9.511697537850e-04       5.406192070767e-03 
       6.849517551848e-03      -2.198994936082e+00      -5.590105257771e+00      -5.663943703689e+00      -2.147408405276e+00      -5.552394893160e+00      -1.362575655389e-03       5.844945307540e-03       5.866914981974e-03      -9.307330417025e-04       5.595238978559e-03 
       6.975790437733e-03      -2.156872639361e+00      -5.738742331579e+00      -5.818041448881e+00      -2.116091601321e+00      -5.700145176156e+00      -1.351589435070e-03       6.042474389820e-03       6.066021153332e-03      -9.016801736658e-04       5.787232469825e-03 
       7.102165532088e-03      -2.115314714620e+00      -5.889255673569e+00      -5.974286888376e+00      -2.086005551578e+00      -5.849964598794e+00      -1.329402654134e-03       6.242573540694e-03       6.267768845389e-03      -8.642471454189e-04       5.982138683419e-03 
       7.228638239473e-03      -2.074626651718e+00      -6.041566541650e+00      -6.132653156595e+00      -2.057369273693e+00      -6.001827059489e+00      -1.296002496778e-03       6.445178808244e-03       6.472113845702e-03      -8.187929991471e-04       6.179906852991e-03 
       7.355204276895e-03      -2.035103420357e+00      -6.195645926334e+00      -6.293114866473e+00      -2.030383038483e+00      -6.155714742556e+00      -1.251443866024e-03       6.650256412887e-03       6.679022153014e-03      -7.657747938975e-04       6.380495956780e-03 
       7.481859649730e-03      -1.997020237198e+00      -6.351500137030e+00      -6.455637497346e+00      -2.005215142999e+00      -6.311606927603e+00      -1.195852344375e-03       6.857772390305e-03       6.888441398011e-03      -7.057345662308e-04       6.583847097714e-03 
       7.608600629819e-03      -1.960635238542e+00      -6.509025558239e+00      -6.620196698742e+00      -1.982014561247e+00      -6.469474208693e+00      -1.129594738886e-03       7.067654937619e-03       7.100330629520e-03      -6.393363978158e-04       6.789897706532e-03 
       7.735423735528e-03      -1.926203383355e+00      -6.668254690623e+00      -6.786772069283e+00      -1.960912030565e+00      -6.629310604021e+00      -1.053043911223e-03       7.279911426851e-03       7.314674495632e-03      -5.673171211060e-04       6.998616543782e-03 
       7.862325713566e-03      -1.893932286899e+00      -6.829089628116e+00      -6.955331557535e+00      -1.941994198900e+00      -6.791079648561e+00      -9.667722968842e-04       7.494457934232e-03       7.531413537074e-03      -4.904957821505e-04       7.209917149956e-03 
       7.989303522403e-03      -1.864024470297e+00      -6.991529801034e+00      -7.125849402810e+00      -1.925330334150e+00      -6.954764374621e+00      -8.714031459137e-04       7.711273825181e-03       7.750515668892e-03      -4.097556617158e-04       7.423742600262e-03 
       8.116354317107e-03      -1.836647439538e+00      -7.155518243034e+00      -7.298295627856e+00      -1.910955325378e+00      -7.120334877990e+00      -7.676989814801e-04       7.930301294443e-03       7.971931882391e-03      -3.260397647454e-04       7.640012614785e-03 
       8.243475435493e-03      -1.811954077465e+00      -7.321032487649e+00      -7.472653445696e+00      -1.898886968295e+00      -7.287776815870e+00      -6.565254906993e-04       8.151524507177e-03       8.195647213963e-03      -2.403483641485e-04       7.858677630688e-03 
